更新时间：2026-07-10  07:20
湖北节目,#genre#
湖北经视,http://27.29.167.106:8883/rtp/239.69.1.41:9886
湖北综合,http://27.29.167.106:8883/rtp/239.69.1.42:9892
湖北垄上,http://27.29.167.106:8883/rtp/239.69.1.43:9898
湖北影视,http://27.29.167.106:8883/rtp/239.69.1.204:10866
湖北教育,http://27.29.167.106:8883/rtp/239.69.1.206:10878
武汉新闻综合,http://27.29.167.106:8883/rtp/239.69.1.145:10506
武汉都市文体,http://27.29.167.106:8883/rtp/239.69.1.2:9652
蔡甸综合,http://27.29.167.106:8883/rtp/239.69.1.245:11112
阳新综合,http://27.29.167.106:8883/rtp/239.69.1.34:9844
房县新闻综合,http://27.29.167.106:8883/rtp/239.69.1.192:10794
央视频道,#genre#
CCTV-1综合,http://219.140.5.19:8188/rtp/239.254.96.96:8550
CCTV-2 财经,http://27.29.167.106:8883/rtp/239.69.1.102:10250
CCTV-3 文艺,http://27.29.167.106:8883/rtp/239.69.1.122:10370
CCTV-4 中文国际,http://27.29.167.106:8883/rtp/239.69.1.138:10466
CCTV-4 中文国际(欧),http://27.29.167.106:8883/rtp/239.69.1.231:11028
CCTV-4 中文国际(美),http://27.29.167.106:8883/rtp/239.69.1.232:11034
CCTV-5 体育,http://27.29.167.106:8883/rtp/239.69.1.123:10376
CCTV5+ 体育赛事,http://27.29.167.106:8883/rtp/239.254.96.234:9484
CCTV-6 电影,http://27.29.167.106:8883/rtp/239.69.1.124:10382
CCTV-7 国防军事,http://27.29.167.106:8883/rtp/239.69.1.103:10256
CCTV-8 电视剧,http://27.29.167.106:8883/rtp/239.69.1.125:10388
CCTV-9 记录,http://27.29.167.106:8883/rtp/239.69.1.104:10262
CCTV-10 科教,http://27.29.167.106:8883/rtp/239.69.1.105:10268
CCTV-11 戏曲,http://27.29.167.106:8883/rtp/239.69.1.154:10560
CCTV-12 少儿,http://27.29.167.106:8883/rtp/239.69.1.106:10274
CCTV-13 新闻,http://27.29.167.106:8883/rtp/239.254.96.161:9040
CCTV-14 少儿,http://27.29.167.106:8883/rtp/239.69.1.107:10280
